,document,query1,query2,query3,query4,query5
0,ertyuiop[,,,,,
1,qwerty,,,,,
2,Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr Lorem ipsum samir dil olr,,,,,
3,abc,,,,,
4,qwerty,,,,,
5,lorem ipsum,,,,,
6,lorem ipsum generator,,,,,
7,we7890-=,,,,,
8,Let's resale this penthouse again,,,,,
9,213,,,,,
10,qwertyuiop1234567890-],,,,,
11,huj,,,,,
12,qwerty,,,,,
13,qewrtyuil;'\,,,,,
14,qwerty,,,,,
15,lorem ipsum,,,,,
16,lorem isoum,,,,,
17,234,,,,,
18,House for long term resale,,,,,
19,"For those retreat and privacy seekers, this stunning country house for sale in Mijas Costa perched on its own hill and offering great spacious rooms and over two and a half acres of land, is a fantastic rare find in a highly desirable area.

This uniquely situated 3 bed + 3 bath country house offers the perfect balance for a quiet lifestyle and casual or large scale entertaining, with its spacious light filled living spaces, huge, covered terraces and panoramic 360-degree views throughout. The spacious open living room with a raised dining area is naturally light, bright, and inviting and features a wood burner and high ceilings and windows that capture the views. It connects easily to the fully equipped kitchen, which comes with a pantry and laundry room.

The inviting outdoors provides morning sun and afternoon shade and offers the ideal space for entertaining or unwinding. You can enjoy the meticulously maintained garden that surrounds the stunning saltwater swimming pool, providing a stylish haven for relaxation and cooling off during sun-drenched days, and admire captivating sunsets and top-of-the-world views from this magnificent countryside setting.

This fully fenced country house comes with magically lush grounds, a true botanical haven for garden lovers and nature enthusiasts, with over 20 fruit tree varieties including 250 mango trees, flowers and medicinal and aromatic herbs. The wonderfully fertile plot is equipped with an irrigation system and it is perfect for growing vegetables. A large chicken coop and two sheds, one for garden tools and a larger shed that houses the irrigation system and offers extra storage space, complete the outdoor area.

Additional features in this country house include an automatic entrance gate, an intercom with a camera and security alarm and all the windows and doors are fitted with security grilles. This superb home can be sold fully furnished with brand new quality furniture.

This Mijas Costa property offers a stunning and private setting, situated perfectly for ultimate privacy and optimum breathtaking views at the highest point of La Cala de Mijas, yet nearby town centres and villages can be reached in ten minutes and the property is located within 40 minutes of Malaga airport. You are only minutes to all the amenities and services on the coast including shopping centres, restaurants, golf, leisure and entertainment options, as well as schools and health centres and much more.

If spending time in nature sounds like a dream to you, this country house in Mijas Costa offers the perfect combination of beautiful natural surroundings and comfort with ample room for creative expression and personal design. It serves as a serene verdant retreat from the hustle and bustle of the coast and offers sensational living in the countryside!",,,,,
20,Devs,,,,,
21,etryioi,,,,,
22,w3e4t5y6u7iop[],,,,,
23,qwerty,,,,,
24,1000,,,,,
25,ADWFESGRHTR,,,,,
26,"Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From Monday: To, From",,,,,
27,lorem ipsum qwer1234567,,,,,
28,Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr Quo quisquam et repr,,,,,
29,lorem ispum,,,,,
30,"A contemporary architectural masterpiece in the exclusive neighbourhood of La Quinta, with astonishing panoramic views towards the sea, mountains and city. Sitting on a privileged hilltop, this designer estate is distributed over 3 levels and offers a meticulously crafted open living space, built on a nearly 1500m2 private plot. The impressive primary suite offers breathtaking sea views, with a private terrace and luxurious master bath. An additional 4 bedrooms complete the property, multiple entertaining outdoor areas surround the villa, a spectacular rooftop, an infinity edge pool and a private spa centre including an indoor pool, sauna and Turkish bath.",,,,,
31,Elevated ground floor flat with covered terrace and small garden area. Well kept urbanisation and pool area.,,,,,
32,efefef,,,,,
33,qwertyu23456789o,,,,,
34,"A modern classic- style five-bedroom villa situated in the sought after area of La Alqueria in Benahavis.

Close to the amenities, including golf courses, International schools and supermarkets within easy reach.

Facing southwest and enjoying the panoramic sea, mountain, and golf views.

Built over three levels, including the basement, the villa has a grand entrance hall with a vaulted ceiling.

The kitchen is a large open plan kitchen with a central island and direct access via patio doors to the garden area.",,,,,
35,"2 Bedroom 2 bathroom garden apartment for sale, in walking distance to shops, restaurants, public transport links and beach",,,,,
36,adwsfdwasdfawfas,,,,,
37,"**Luxury and Spacious Duplex Apartment with Breathtaking Sea Views in Malaga, Algarrobo!**

Experience luxury living in this newly completed, high-end duplex apartment in the charming town of Algarrobo in Malaga. With breathtaking sea views and the beach just on your doorstep, this ten-bedroom, ten-bathroom home invites you to indulge in an exceptional lifestyle.

Situated on the second floor, this stunning property bathes in natural light and boasts unobstructed views of the azure sea. The apartment has a generous interior size of ten square meters, providing a spacious, yet comfortable living area. Accommodating a large family or even guests is a breeze with the ten well-appointed bedrooms and an equal number of exclusive bathrooms.

The open-plan living space is effortlessly elegant, ensuring a seamless connection between indoor and outdoor living. An opulent fully-furnished kitchen leads out onto the terrace, where a private pool awaits for morning swims or sunset dips. The ample terrace space is perfect for hosting intimate parties or family get-togethers, with the scintillating sea as your backdrop.

The property is part of a gated community that offers superb security, and the condition of the apartment is impeccable, having been completed just this year. Your vehicles are secured as well in the accommodating underground parking.

Live life king size in this splendid duplex and experience sunrises like never before, with a north-facing orientation that delivers surreal vistas. A lush private garden allows for quiet mornings or relaxing afternoons, and direct beachfront access gives you your own private piece of paradise.

Situated in Algarrobo, you are positioned within the heart of Malaga. This Andalusian town captures the allure of traditional Spain, while catering to the modern amenities and establishments nearby. Enjoy delightful strolls to the local shops, restaurants and cafes, or indulge in various outdoor activities such as sailing, hiking or golfing.

Do not miss out on this incredible opportunity to establish yourself within one of Malaga's most prestigious locations. Contact us today for a private viewing of this very special home.",,,,,
38,efewfewfe,,,,,
39,Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum,,,,,
40,lorem ispum,,,,,
41,"**Headline**: ""Discover Your Own Slice of Andalusian Splendour in a Stunning 10-Bedroom Duplex Apartment!""

**Opening statement**:   
Experience the epitome of Spanish opulence in this newly completed, 10-bedroom duplex apartment in the heartland of Malaga, Algarrobo. This stunning jewel on Spain's Costa del Sol, radiates a classic charm meshed with modern comforts.

**Home’s Best Features**:    
Positioned on the first floor, this sprawling duplex apartment is woven with layers of luxury and comfort to deliver an unmatched living experience. Be immediately greeted by a spacious, sun-lit interior, an architectural marvel designed with attention to detail, oozing sophistication and warmth at every corner. The 10 magnificent, designed-to-perfection bedrooms are at once warm and intimate, providing your personal sanctuary unruffled by the outside world. Tailored for comfort, each of the 10 bathrooms echoes the convenience one seeks in a home of this stature.

The duplex showcases extravagant outdoor space to enjoy the famed Andalusian climate. With its impeccable design, this duplex keeps you connected to the vibrant culture of the city while offering a calm and serene escape from it.

**Local area**:   
Nestled in Algarrobo, a charming village in the province of Malaga, this duplex promises an authentic Andalusian lifestyle, steeped in history and tradition. The close-knit community, vibrant local markets, and traditional festivals blend harmoniously with the stunning panoramic landscapes of the Andalusian coast. With endless gastronomy options and picturesque cityscapes to explore, life here is nothing short of a vivid Mediterranean dream come true.

**Call to Action**:   
Don't miss this chance to acquire a radiant blend of Andalusian charm and modern elegance. This duplex is an unparalleled opportunity to savour a lifestyle marked by comfort and luxury. Whether you're looking for a spacious family home or an investment in one of Spain's most sought-after locations, this is the perfect opportunity. Reach out today and take your first step towards owning your Spanish dream home!

(Please note: Some specific attributes of the property are not provided in the brief and hence are intentionally kept vague for this exercise, these include orientation, views, garden or plot size, security, etc. These should be included for a thorough and complete property description).",,,,,
42,qertyuio',,,,,
43,lorem ipsum,,,,,
44,lorem opsum,,,,,
